iter	Passed	Remaining
0	2	743
1	4	683
2	6	671
3	9	687
4	11	669
5	13	655
6	15	644
7	17	638
8	19	631
9	21	625
10	24	631
11	26	628
12	28	625
13	30	621
14	32	616
15	34	614
16	36	615
17	39	611
18	41	608
19	43	604
20	45	602
21	47	597
22	49	593
23	51	589
24	53	591
25	55	588
26	57	584
27	59	582
28	62	579
29	64	576
30	66	574
31	68	571
32	70	568
33	72	565
34	74	562
35	76	559
36	78	556
37	80	554
38	82	551
39	84	550
40	86	548
41	88	546
42	91	544
43	93	542
44	95	540
45	97	539
46	99	536
47	101	534
48	103	532
49	105	529
50	107	527
51	110	524
52	112	522
53	114	519
54	116	517
55	118	515
56	120	513
57	122	511
58	124	509
59	126	507
60	128	505
61	131	502
62	133	500
63	135	497
64	137	495
65	139	493
66	141	491
67	143	489
68	145	487
69	147	484
70	149	482
71	151	480
72	153	478
73	156	476
74	158	474
75	160	472
76	162	469
77	164	467
78	166	465
79	168	463
80	170	461
81	172	458
82	174	456
83	176	454
84	178	452
85	181	450
86	183	448
87	185	446
88	187	444
89	189	442
90	191	439
91	193	437
92	195	435
93	197	433
94	199	431
95	201	429
96	204	427
97	206	424
98	208	422
99	210	420
100	212	418
101	214	416
102	216	414
103	218	411
104	220	409
105	222	407
106	224	404
107	226	403
108	228	400
109	230	398
110	232	395
111	234	393
112	235	390
113	238	388
114	240	386
115	242	384
116	244	382
117	246	380
118	248	378
119	250	376
120	252	374
121	255	372
122	257	370
123	258	367
124	260	365
125	262	363
126	265	361
127	266	358
128	268	356
129	271	354
130	272	351
131	274	349
132	277	347
133	279	345
134	280	342
135	282	340
136	284	338
137	286	336
138	288	334
139	290	331
140	291	329
141	293	327
142	295	324
143	297	322
144	299	320
145	301	318
146	303	316
147	305	314
148	307	311
149	310	310
150	311	307
151	313	305
152	315	302
153	316	300
154	318	297
155	320	295
156	322	293
157	323	290
158	325	288
159	327	286
160	329	284
161	331	282
162	333	280
163	334	277
164	336	275
165	338	272
166	339	270
167	341	268
168	343	266
169	345	263
170	347	261
171	348	259
172	350	257
173	351	254
174	353	252
175	355	250
176	357	248
177	358	246
178	360	243
179	362	241
180	364	239
181	365	237
182	367	235
183	369	232
184	371	230
185	372	228
186	374	226
187	375	223
188	377	221
189	379	219
190	381	217
191	382	215
192	384	213
193	386	210
194	387	208
195	389	206
196	390	204
197	392	202
198	394	199
199	395	197
200	397	195
201	399	193
202	400	191
203	402	189
204	403	187
205	405	185
206	407	182
207	408	180
208	410	178
209	411	176
210	413	174
211	415	172
212	416	170
213	418	168
214	420	166
215	421	164
216	423	162
217	425	159
218	426	157
219	428	155
220	430	153
221	432	151
222	433	149
223	435	147
224	437	145
225	438	143
226	440	141
227	442	139
228	443	137
229	445	135
230	446	133
231	448	131
232	450	129
233	451	127
234	453	125
235	455	123
236	457	121
237	458	119
238	460	117
239	461	115
240	463	113
241	465	111
242	466	109
243	468	107
244	470	105
245	471	103
246	473	101
247	475	99
248	476	97
249	478	95
250	479	93
251	481	91
252	483	89
253	484	87
254	486	85
255	488	83
256	489	81
257	491	79
258	493	78
259	494	76
260	496	74
261	497	72
262	499	70
263	501	68
264	502	66
265	504	64
266	505	62
267	507	60
268	509	58
269	510	56
270	512	54
271	513	52
272	515	50
273	517	49
274	518	47
275	520	45
276	521	43
277	523	41
278	525	39
279	526	37
280	528	35
281	530	33
282	531	31
283	533	30
284	535	28
285	536	26
286	538	24
287	539	22
288	541	20
289	543	18
290	544	16
291	546	14
292	548	13
293	549	11
294	551	9
295	552	7
296	554	5
297	556	3
298	557	1
299	559	0
